Table,Column,Total Rows,Non-null Count,Completeness (%)
referee_appearances,referee_id,900,900,100.0
referee_appearances,family_name,900,900,100.0
referee_appearances,given_name,900,900,100.0
referee_appearances,country_name,900,900,100.0
referee_appearances,confederation_id,900,900,100.0
referee_appearances,confederation_name,900,900,100.0
referee_appearances,confederation_code,900,900,100.0
referee_appointments,key_id,511,511,100.0
referee_appointments,tournament_id,511,511,100.0
referee_appointments,tournament_name,511,511,100.0
referee_appointments,referee_id,511,511,100.0
referee_appointments,family_name,511,511,100.0
referee_appointments,given_name,511,511,100.0
referee_appointments,country_name,511,511,100.0
referee_appointments,confederation_id,511,511,100.0
referee_appointments,confederation_name,511,511,100.0
referee_appointments,confederation_code,511,511,100.0
referees,key_id,380,380,100.0
referees,referee_id,380,380,100.0
referees,family_name,380,380,100.0
referees,given_name,380,380,100.0
referees,country_name,380,380,100.0
referees,confederation_id,380,380,100.0
referees,confederation_name,380,380,100.0
referees,confederation_code,380,380,100.0
referees,referee_wikipedia_link,380,380,100.0
squads,key_id,10142,10142,100.0
squads,tournament_id,10142,10142,100.0
squads,tournament_name,10142,10142,100.0
squads,team_id,10142,10142,100.0
squads,team_name,10142,10142,100.0
squads,team_code,10142,10142,100.0
squads,player_id,10142,10142,100.0
squads,family_name,10142,10142,100.0
squads,given_name,10142,10142,100.0
squads,shirt_number,10142,10142,100.0
squads,position_name,10142,10142,100.0
squads,position_code,10142,10142,100.0
stadiums,key_id,185,185,100.0
stadiums,stadium_id,185,185,100.0
stadiums,stadium_name,185,185,100.0
stadiums,city_name,185,185,100.0
stadiums,country_name,185,185,100.0
stadiums,stadium_capacity,185,185,100.0
stadiums,stadium_wikipedia_link,185,185,100.0
stadiums,city_wikipedia_link,185,185,100.0
substitutions,key_id,6464,6464,100.0
substitutions,substitution_id,6464,6464,100.0
substitutions,tournament_id,6464,6464,100.0
substitutions,tournament_name,6464,6464,100.0
substitutions,match_id,6464,6464,100.0
substitutions,match_name,6464,6464,100.0
substitutions,match_date,6464,6464,100.0
substitutions,stage_name,6464,6464,100.0
substitutions,group_name,6464,6464,100.0
substitutions,team_id,6464,6464,100.0
substitutions,team_name,6464,6464,100.0
substitutions,team_code,6464,6464,100.0
substitutions,home_team,6464,6464,100.0
substitutions,away_team,6464,6464,100.0
substitutions,player_id,6464,6464,100.0
substitutions,family_name,6464,6464,100.0
substitutions,given_name,6464,6464,100.0
substitutions,shirt_number,6464,6464,100.0
substitutions,minute_label,6464,6464,100.0
substitutions,minute_regulation,6464,6464,100.0
substitutions,minute_stoppage,6464,6464,100.0
substitutions,match_period,6464,6464,100.0
substitutions,going_off,6464,6464,100.0
