Match_ID,Home_Team_Score,Away_Team_Score,Accuracy_Status
M-1978-05,2,1,Accurate
M-1978-06,1,1,Accurate
M-1978-07,3,0,Accurate
M-1978-08,3,1,Accurate
M-1978-09,3,1,Accurate
M-1978-10,1,0,Accurate
M-1978-11,6,0,Inaccurate
M-1978-12,2,1,Accurate
M-1978-13,1,0,Accurate
M-1978-14,0,0,Accurate
M-1978-15,0,0,Accurate
M-1978-16,1,1,Accurate
M-1978-17,3,1,Accurate
M-1978-18,3,1,Accurate
M-1978-19,0,0,Accurate
M-1978-20,0,1,Accurate
M-1978-21,1,0,Accurate
M-1978-22,1,0,Accurate
M-1978-23,4,1,Accurate
M-1978-24,3,2,Accurate
M-1978-25,1,5,Accurate
M-1978-26,0,0,Accurate
M-1978-27,3,0,Accurate
M-1978-28,2,0,Accurate
M-1978-29,0,1,Accurate
M-1978-30,1,0,Accurate
M-1978-31,2,2,Accurate
M-1978-32,0,0,Accurate
M-1978-33,3,2,Accurate
M-1978-34,1,2,Accurate
M-1978-35,3,1,Accurate
M-1978-36,6,0,Inaccurate
M-1978-37,2,1,Accurate
M-1978-38,3,1,Accurate
M-1982-01,0,1,Accurate
M-1982-02,0,0,Accurate
M-1982-03,2,1,Accurate
M-1982-04,0,0,Accurate
M-1982-05,10,1,Inaccurate
M-1982-06,5,2,Accurate
M-1982-07,1,2,Accurate
M-1982-08,3,1,Accurate
M-1982-09,1,1,Accurate
M-1982-10,0,1,Accurate
M-1982-11,1,1,Accurate
M-1982-12,0,0,Accurate
M-1982-13,1,1,Accurate
M-1982-14,4,1,Accurate
M-1982-15,4,1,Accurate
M-1982-16,0,0,Accurate
M-1982-17,1,0,Accurate
M-1982-18,3,0,Accurate
M-1982-19,4,1,Accurate
M-1982-20,2,0,Accurate
M-1982-21,2,1,Accurate
M-1982-22,0,2,Accurate
M-1982-23,4,1,Accurate
M-1982-24,1,1,Accurate
M-1982-25,5,1,Accurate
M-1982-26,1,1,Accurate
M-1982-27,2,2,Accurate
M-1982-28,1,1,Accurate
M-1982-29,2,0,Accurate
M-1982-30,4,0,Accurate
M-1982-31,3,2,Accurate
M-1982-32,1,1,Accurate
M-1982-33,0,1,Accurate
M-1982-34,1,0,Accurate
M-1982-35,1,0,Accurate
M-1982-36,0,1,Accurate
M-1982-37,0,1,Accurate
M-1982-38,3,0,Accurate
M-1982-39,2,1,Accurate
M-1982-40,0,0,Accurate
M-1982-41,2,2,Accurate
M-1982-42,0,1,Accurate
M-1982-43,1,3,Accurate
M-1982-44,2,1,Accurate
M-1982-45,4,1,Accurate
M-1982-46,0,0,Accurate
M-1982-47,3,2,Accurate
M-1982-48,0,0,Accurate
M-1982-49,0,2,Accurate
M-1982-50,3,3,Accurate
M-1982-51,3,2,Accurate
M-1982-52,3,1,Accurate
M-1986-01,1,1,Accurate
M-1986-02,0,1,Accurate
M-1986-03,0,1,Accurate
M-1986-04,3,1,Accurate
M-1986-05,6,0,Inaccurate
M-1986-06,0,0,Accurate
M-1986-07,1,2,Accurate
M-1986-08,1,1,Accurate
M-1986-09,1,0,Accurate
M-1986-10,1,0,Accurate
M-1986-11,1,1,Accurate
M-1986-12,0,1,Accurate
M-1986-13,1,1,Accurate
M-1986-14,1,1,Accurate
M-1986-15,1,1,Accurate
M-1986-16,2,0,Accurate
M-1986-17,1,0,Accurate
M-1986-18,0,0,Accurate
M-1986-19,1,1,Accurate
M-1986-20,1,2,Accurate
M-1986-21,1,0,Accurate
M-1986-22,1,2,Accurate
M-1986-23,2,1,Accurate
M-1986-24,6,1,Inaccurate
M-1986-25,0,3,Accurate
M-1986-26,2,0,Accurate
M-1986-27,2,0,Accurate
M-1986-28,2,3,Accurate
M-1986-29,0,1,Accurate
M-1986-30,2,2,Accurate
M-1986-31,3,0,Accurate
M-1986-32,1,3,Accurate
M-1986-33,0,3,Accurate
M-1986-34,0,3,Accurate
M-1986-35,2,0,Accurate
M-1986-36,0,0,Accurate
M-1986-37,2,0,Accurate
M-1986-38,3,4,Accurate
M-1986-39,4,0,Accurate
M-1986-40,1,0,Accurate
